state,forecast_week,year,epi_week,date,predicted_cases,predicted_lower,predicted_upper,risk_level
Sokoto,4,2025,8,2025-02-17,5.02,0.0,66.05,Low
Taraba,1,2025,10,2025-03-03,4.13,0.0,178.8,Low
Taraba,2,2025,11,2025-03-10,7.09,0.0,254.11,Low
Taraba,3,2025,12,2025-03-17,2.85,0.0,305.39,Low
Taraba,4,2025,13,2025-03-24,4.65,0.0,353.99,Low
Yobe,1,2025,5,2025-01-27,8.5,0.0,311.72,Low
Yobe,2,2025,6,2025-02-03,4.27,0.0,433.08,Low
Yobe,3,2025,7,2025-02-10,6.56,0.0,531.75,Low
Yobe,4,2025,8,2025-02-17,4.75,0.0,611.18,Low
Zamfara,1,2024,39,2024-09-23,6.13,0.0,80.98,Low
Zamfara,2,2024,40,2024-09-30,5.33,0.0,111.18,Low
Zamfara,3,2024,41,2024-10-07,5.15,0.0,134.8,Low
Zamfara,4,2024,42,2024-10-14,4.03,0.0,153.73,Low
